Epoch,PSNR,PSNR,PSNR,PSNR
1,17.34389723,16.92375862,17.95212702,17.35204547
2,19.16190549,18.90802972,19.82066516,19.67249055
3,20.16095182,19.87671423,20.43901597,20.47710848
4,20.54786561,20.2459271,21.21332203,20.59721055
5,20.93860805,20.53417883,20.37566906,20.95305484
6,21.79117474,21.33769447,22.45901522,21.86340696
7,22.1687758,21.83592358,21.83554374,22.49841506
8,22.31313156,22.29248144,23.04998361,22.7926781
9,22.46893418,22.46356568,22.64757706,23.28743819
10,22.6739936,23.17278822,23.43870577,22.752203
11,23.43971342,23.35126415,23.62444986,24.04061726
12,23.68885818,22.89347923,23.83234406,23.75368224
13,21.90379126,23.02630364,23.78396537,23.81260015
14,23.579152,23.54865226,22.35113674,23.91196208
15,24.27463392,23.93664691,24.73733548,24.89332167
16,24.70615024,24.59824795,24.80494592,24.60842013
17,24.69963165,24.81243712,25.24829728,25.09460832
18,24.90141714,24.77507441,24.94331066,25.5178555
19,22.75582299,23.95327659,25.1955661,24.7194034
20,24.79169438,25.15738902,25.23035113,25.76869524
21,25.00236014,25.30748639,25.10817711,24.97374636
22,23.93016491,24.57503179,25.04446885,25.17795527
23,25.55518387,25.66375797,24.82655143,25.83410149
24,25.39097904,25.19398376,25.50477982,26.3941682
25,25.4427779,25.69259413,26.24677848,24.450831
26,25.87821645,25.84885765,25.6714418,26.57625659
27,26.04358302,26.05853436,25.69936394,26.42692648
28,26.00713556,26.30227799,26.55248954,26.11083113
29,25.10609471,25.27411748,26.25835228,25.31711751
30,26.49029099,25.67375187,26.3204992,26.39736042
31,26.93023966,26.76112914,26.80191682,26.98363369
32,26.10992865,26.24739823,25.70158733,26.40632681
33,26.77286711,26.35620563,26.26890691,26.55135067
34,26.38839877,26.10779524,24.62217561,25.48226547
35,26.88165549,26.50409349,26.81399817,26.92179502
36,26.66018722,27.03522565,27.31253267,27.24760866
37,26.83700163,26.59202934,27.2807354,27.29309546
38,27.31589248,26.71878673,27.35412955,27.31620621
39,27.11310417,27.02892633,27.24838902,27.50965755
40,26.61917718,26.43590908,26.99810196,27.49001908
41,26.75963049,26.35518904,26.55225874,27.02647796
42,27.72352077,27.2700766,27.36117731,27.04194526
43,27.31996821,27.31325109,27.08256327,27.6590097
